pyweather_Zeitpunkt,pyweather_Temperatur,pyweather_Temperatur_felt,pyweather_rel_Luftfeuchtigkeit,pyweather_Himmelbeschreibung,pyweather_Windgeschwindigkeit,sense_hat_Zeitpunkt,sense_hat_Temperatur,sense_hat_Temperatur_hum,sense_hat_Temperatur_pres,sense_hat_Temperatur_cpu,sense_hat_Luftdruck,sense_hat_rel_Luftfeuchtigkeit
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_11:58:26,40.3,40.3,39.26,55.5,1021.5,23.8
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_11:59:27,40.71,40.71,39.41,55.5,1021.46,24.16
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:00:27,40.38,40.38,39.24,55.5,1021.56,24.28
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:01:27,40.71,40.71,39.46,55.5,1021.47,24.8
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:02:27,40.78,40.78,39.54,56.0,1021.55,24.56
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:03:28,40.62,40.62,39.48,55.0,1021.66,22.51
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:04:28,40.47,40.47,39.35,56.4,1021.69,24.37
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:05:28,40.56,40.56,39.39,55.5,1021.69,24.46
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:06:28,40.51,40.51,39.33,55.0,1021.69,24.43
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:07:29,40.54,40.54,39.37,55.5,1021.73,24.59
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:08:29,40.43,40.43,39.21,55.0,1021.68,24.49
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:09:29,40.32,40.32,39.23,55.0,1021.7,24.53
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:10:29,40.32,40.32,39.24,55.5,1021.75,24.77
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:11:30,40.43,40.43,39.31,55.0,1021.74,24.43
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:12:30,40.56,40.56,39.36,55.5,1021.71,25.46
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:13:30,40.49,40.49,39.35,55.5,1021.68,24.49
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:14:30,40.51,40.51,39.32,55.0,1021.68,24.37
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:15:31,40.62,40.62,39.4,54.5,1021.55,24.55
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:16:31,40.6,40.6,39.36,55.0,1021.62,24.55
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:17:31,40.63,40.63,39.38,55.0,1021.6,25.6
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:18:31,40.65,40.65,39.41,55.5,1021.61,24.53
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:19:32,40.67,40.67,39.46,55.5,1021.64,24.49
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:20:32,40.71,40.71,39.54,56.0,1021.51,24.98
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:21:32,40.49,40.49,39.36,55.0,1021.45,24.4
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:22:32,40.87,40.87,39.67,55.5,1021.42,24.31
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_12:23:33,40.76,40.76,39.54,55.0,1021.44,24.29
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:24:33,40.74,40.74,39.62,56.0,1021.53,23.8
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:25:33,41.02,41.02,39.79,56.0,1021.47,24.28
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:26:33,40.93,40.93,39.65,55.5,1021.54,24.44
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:27:34,41.09,41.09,39.76,55.0,1021.47,24.3
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:28:34,40.89,40.89,39.71,55.0,1021.4,25.63
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:29:34,41.07,41.07,39.81,56.0,1021.34,24.97
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:30:34,40.91,40.91,39.82,55.0,1021.44,24.3
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:31:35,41.13,41.13,39.9,56.0,1021.4,24.43
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:32:35,41.06,41.06,39.86,55.5,1021.31,24.07
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:33:35,41.24,41.2,39.97,55.5,1021.36,22.68
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:34:35,41.22,41.22,39.98,56.0,1021.31,23.78
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:35:35,41.18,41.18,40.04,55.5,1021.33,23.75
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:36:36,41.33,41.33,40.1,56.0,1021.38,24.07
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:37:36,41.39,41.39,40.14,55.0,1021.4,24.01
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:38:36,41.29,41.29,40.13,56.0,1021.44,23.92
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:39:36,41.2,41.2,40.13,56.9,1021.47,24.28
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:40:37,41.28,41.28,40.23,56.4,1021.44,24.07
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:41:37,41.13,41.13,40.1,56.4,1021.41,23.95
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:42:37,41.39,41.39,40.29,56.4,1021.36,23.78
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:43:38,41.4,41.4,40.32,56.4,1021.44,23.74
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:44:38,41.29,41.29,40.17,56.0,1021.51,23.59
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:45:38,41.28,41.28,40.14,56.0,1021.51,23.58
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:46:38,41.24,41.24,40.16,55.5,1021.53,23.19
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:47:39,41.17,41.17,40.11,55.5,1021.4,23.17
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:48:39,41.35,41.35,40.38,55.5,1021.51,23.29
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:49:39,41.37,41.37,40.33,55.5,1021.44,23.28
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:50:39,41.44,41.44,40.34,55.5,1021.43,23.0
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:51:40,41.42,41.42,40.31,56.4,1021.44,22.82
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:52:40,41.61,41.61,40.56,55.0,1021.26,23.08
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:53:40,41.64,41.64,40.62,56.4,1021.43,22.91
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:54:41,41.55,41.55,40.49,56.4,1021.37,22.89
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:55:41,41.72,41.72,40.7,56.4,1021.4,22.75
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:56:42,41.66,41.66,40.55,56.4,1021.43,22.9
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:57:42,41.64,41.64,40.5,56.0,1021.42,22.66
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:58:43,41.68,41.68,40.62,55.5,1021.41,22.68
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_12:59:43,41.92,41.92,40.66,56.4,1021.44,22.39
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_13:00:43,41.66,41.66,40.57,56.0,1021.43,22.24
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_13:01:44,41.77,41.77,40.51,55.5,1021.31,21.97
2022-07-05_11:50:00,19,19,52,Überwiegend sonnig,17,2022-07-05_13:02:44,41.53,41.53,40.44,55.5,1021.47,22.29
2022-07-05_12:20:00,20,20,49,Überwiegend sonnig,21,2022-07-05_13:03:44,41.55,41.64,40.53,56.4,1021.46,22.33
2022-07-05_12:20:00,20,20,49,Überwiegend sonnig,21,2022-07-05_13:04:44,41.62,41.62,40.61,56.4,1021.47,22.34
2022-07-05_12:20:00,20,20,49,Überwiegend sonnig,21,2022-07-05_13:05:45,41.55,41.55,40.44,56.4,1021.43,22.09
2022-07-05_12:20:00,20,20,49,Überwiegend sonnig,21,2022-07-05_13:06:45,41.53,41.53,40.46,57.4,1021.52,22.35
2022-07-05_12:20:00,20,20,49,Überwiegend sonnig,21,2022-07-05_13:07:45,41.5,41.5,40.51,56.4,1021.57,22.32
2022-07-05_12:20:00,20,20,49,Überwiegend sonnig,21,2022-07-05_13:08:46,41.46,41.46,40.37,55.5,1021.53,22.14
2022-07-05_12:20:00,20,20,49,Überwiegend sonnig,21,2022-07-05_13:09:46,41.53,41.53,40.47,56.9,1021.5,21.93
2022-07-05_12:20:00,20,20,49,Überwiegend sonnig,21,2022-07-05_13:10:46,41.73,41.73,40.64,56.0,1021.56,21.98
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:11:46,41.79,41.79,40.65,56.0,1021.5,22.27
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:12:46,41.62,41.62,40.6,55.0,1021.48,21.97
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:13:47,41.72,41.72,40.5,56.4,1021.49,22.04
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:14:47,41.4,41.4,40.33,56.9,1021.42,21.4
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:15:47,41.66,41.66,40.72,57.4,1021.45,22.18
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:16:47,41.9,41.9,40.82,56.0,1021.47,21.94
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:17:48,41.75,41.75,40.7,56.0,1021.45,21.67
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:18:48,41.79,41.79,40.69,56.4,1021.33,21.99
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:19:48,41.64,41.64,40.59,56.0,1021.54,21.98
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:20:49,41.53,41.53,40.47,57.4,1021.44,22.28
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:21:49,41.77,41.77,40.72,56.9,1021.46,22.26
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:22:49,41.97,41.97,40.96,56.0,1021.43,22.11
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:23:50,41.95,41.95,40.82,56.0,1021.32,22.64
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:24:50,41.75,41.75,40.6,57.4,1021.26,21.91
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:25:50,41.62,41.62,40.61,56.0,1021.29,21.95
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:26:50,41.53,41.53,40.44,56.9,1021.43,21.93
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:27:51,41.46,41.46,40.4,56.9,1021.53,21.83
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:28:51,41.48,41.48,40.34,56.0,1021.53,22.02
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:29:51,41.31,41.31,40.25,56.9,1021.52,21.97
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:30:51,41.31,41.31,40.17,56.4,1021.4,21.13
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:31:52,41.5,41.61,40.4,56.0,1021.46,23.09
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:32:52,41.5,41.5,40.38,56.4,1021.45,21.49
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:33:52,41.55,41.55,40.49,56.4,1021.48,22.07
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:34:52,41.44,41.44,40.47,56.4,1021.46,22.26
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:35:53,41.48,41.48,40.3,56.4,1021.39,22.14
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:36:53,41.61,41.61,40.48,56.0,1021.41,22.08
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:37:53,41.68,41.68,40.6,56.0,1021.45,22.04
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:38:53,41.68,41.68,40.54,56.4,1021.45,21.44
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:39:53,41.51,41.51,40.49,56.9,1021.46,22.16
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:40:54,41.73,41.73,40.6,56.4,1021.4,22.58
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:41:54,41.77,41.77,40.64,56.0,1021.29,22.09
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:42:54,41.72,41.72,40.69,56.4,1021.28,22.06
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:43:55,41.64,41.64,40.62,56.4,1021.36,22.09
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:44:55,41.81,41.81,40.71,56.4,1021.28,22.31
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:45:55,41.94,41.94,40.8,56.9,1021.2,22.36
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:46:55,41.95,41.95,40.79,55.5,1021.24,22.4
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:47:56,42.1,42.1,41.03,56.9,1021.12,22.01
2022-07-05_12:50:00,20,20,46,Überwiegend sonnig,21,2022-07-05_13:48:56,42.03,42.03,40.92,57.4,1021.15,21.84
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_13:49:56,41.95,41.95,40.79,57.4,1021.25,22.12
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_13:50:57,41.81,41.81,40.74,56.4,1021.25,22.08
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_13:51:57,41.81,41.81,40.8,56.9,1021.28,21.01
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_13:52:57,41.84,41.84,40.83,56.9,1021.43,21.95
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_13:53:57,41.86,41.86,40.72,56.9,1021.34,22.17
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_13:54:58,41.77,41.77,40.73,56.4,1021.42,22.5
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_13:55:58,41.95,41.95,40.85,57.4,1021.28,22.11
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_13:56:58,41.83,41.83,40.78,56.9,1021.29,22.37
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_13:57:58,41.94,41.94,40.83,57.4,1021.29,21.97
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_13:58:59,41.81,41.81,40.79,56.9,1021.24,22.14
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_13:59:59,41.88,41.88,40.8,57.4,1021.2,22.11
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_14:00:59,41.86,41.86,40.83,56.9,1021.3,21.95
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_14:01:59,42.12,42.12,41.01,57.4,1021.36,22.15
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_14:03:00,42.12,42.12,40.99,57.4,1021.43,22.16
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_14:04:00,42.12,42.12,41.13,56.4,1021.39,22.09
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_14:05:00,41.95,41.95,40.94,56.9,1021.4,22.25
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_14:06:00,42.08,42.08,41.11,56.4,1021.19,22.02
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_14:07:00,42.14,42.14,40.99,57.4,1021.09,22.19
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_14:08:01,42.14,42.14,40.98,56.9,1021.05,21.64
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_14:09:01,42.3,42.3,41.1,57.4,1021.04,21.97
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_14:10:01,42.19,42.19,41.08,56.9,1021.07,21.94
2022-07-05_13:20:00,21,21,46,Sonnig,22,2022-07-05_14:11:01,42.1,42.1,41.02,56.9,1021.07,21.78
